label_std,Q1,Median,Q3
LABEL_0,0.994210422039032,0.9948731064796448,0.9952160120010376
LABEL_1,0.9949281215667726,0.99522602558136,0.9954129457473755
LABEL_2,0.9936576187610626,0.994477778673172,0.9948225021362305
LABEL_3,0.9896487295627594,0.991810381412506,0.9927075207233429
LABEL_4,0.9936886727809906,0.9945072531700134,0.9948595762252808
LABEL_5,0.9913928508758544,0.9923295378684998,0.9928286373615265
LABEL_6,0.994786337018013,0.9951205849647522,0.9953581690788269
LABEL_7,0.9947303235530853,0.9951251149177552,0.9953828454017639
LABEL_8,0.9949861764907836,0.9954160451889038,0.9956238865852356
LABEL_9,0.9943538904190063,0.9947941899299622,0.9950377345085144
